Date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
2022-03,0.667,1.068,1.6922,2.2811,2.3756,2.3207,2.2463,2.2019,2.174,2.1533,2.1362,2.1287,2.1256,2.1214,2.102,2.04,1.9736
2022-02,0.365,0.597,0.922,1.3579,1.4864,1.5276,1.5524,1.573,1.5933,1.6125,1.629,1.6478,1.6835,1.7185,1.7397,1.7147,1.6785
2022-01,0.208,0.4385,0.7725,1.1615,1.3255,1.3997,1.4475,1.4887,1.5211,1.5469,1.568,1.5891,1.633,1.6775,1.7083,1.6897,1.6622
2021-12,0.089,0.193,0.3985,0.739,0.9534,1.051,1.1234,1.174,1.2196,1.257,1.288,1.3213,1.3765,1.431,1.4836,1.477,1.461
2021-11,0.0553,0.0923,0.2239,0.5805,0.8279,0.9531,1.0295,1.0979,1.1533,1.1943,1.2257,1.2551,1.3073,1.356,1.3965,1.3852,1.3619
2021-10,0.0487,0.0671,0.177,0.516,0.7567,0.8979,0.9965,1.0868,1.1613,1.2188,1.2645,1.3039,1.3632,1.4204,1.4679,1.467,1.451
2021-09,0.056,0.0545,0.0707,0.239,0.4627,0.6679,0.831,0.9588,1.0591,1.1371,1.201,1.2557,1.3449,1.4312,1.507,1.5241,1.5244
2021-08,0.0507,0.0515,0.0563,0.1707,0.3485,0.5123,0.6504,0.7691,0.8689,0.9509,1.0185,1.0765,1.173,1.2691,1.3583,1.3865,1.3931
2021-07,0.049,0.0475,0.053,0.14,0.292,0.4425,0.5688,0.6825,0.7832,0.8671,0.9398,1.0029,1.111,1.2214,1.328,1.3685,1.3832
2021-06,0.0464,0.0489,0.0622,0.189,0.3938,0.589,0.7465,0.8791,0.9832,1.067,1.134,1.193,1.2886,1.3814,1.4696,1.4955,1.5008
2021-05,0.025,0.0285,0.034,0.0967,0.2643,0.4721,0.6777,0.8583,1.0135,1.142,1.2447,1.3233,1.4575,1.5678,1.6861,1.7213,1.708
2021-04,0.032,0.0384,0.0509,0.1144,0.2813,0.5065,0.7191,0.9068,1.0657,1.1902,1.2919,1.374,1.5036,1.624,1.723,1.7576,1.7652
2021-03,0.0185,0.029,0.0422,0.115,0.3077,0.5694,0.8191,1.03,1.1971,1.3277,1.4356,1.5224,1.6555,1.7818,1.8776,1.9092,1.918
2021-02,0.047,0.053,0.062,0.0972,0.2443,0.437,0.6217,0.7912,0.935,1.054,1.155,1.233,1.36,1.482,1.571,1.6079,1.615
2021-01,0.0372,0.0408,0.047,0.0574,0.1023,0.1992,0.323,0.4599,0.5869,0.6988,0.799,0.8795,1.0156,1.1465,1.2622,1.314,1.3361
2020-12,0.064,0.057,0.0589,0.062,0.091,0.1535,0.244,0.3475,0.45,0.5447,0.627,0.705,0.8316,0.9578,1.0747,1.1289,1.1532
2020-11,0.07,0.068,0.0693,0.0735,0.0998,0.1587,0.2359,0.3231,0.4071,0.489,0.5634,0.6291,0.7371,0.8485,0.9484,0.9934,1.0136
2020-10,0.0835,0.0803,0.068,0.0556,0.0787,0.1405,0.2264,0.3253,0.42,0.5058,0.5846,0.653,0.7678,0.8792,0.9886,1.0308,1.0498
2020-09,0.0769,0.0694,0.0582,0.0326,0.0363,0.0725,0.1292,0.2005,0.2731,0.3518,0.4099,0.474,0.5774,0.6873,0.7965,0.8482,0.8598
2020-08,0.0747,0.073,0.0549,0.0305,0.0326,0.0667,0.119,0.194,0.273,0.348,0.418,0.4785,0.5843,0.6863,0.7845,0.8203,0.834
2020-07,0.0698,0.0628,0.0379,-0.0092,-0.0272,-0.0128,0.022,0.0765,0.1307,0.179,0.2267,0.2695,0.338,0.4068,0.4713,0.4988,0.4998
2020-06,0.0647,0.0602,0.0317,0.0026,-0.003,0.0229,0.082,0.1446,0.2092,0.2777,0.329,0.379,0.4504,0.5276,0.601,0.6256,0.633
2020-05,0.0691,0.063,0.0492,0.0173,0.0241,0.0618,0.1125,0.1736,0.2352,0.2873,0.3428,0.3875,0.4574,0.5357,0.6138,0.6436,0.647
2020-04,0.0282,0.0309,0.0407,0.0481,0.0694,0.1093,0.1599,0.2144,0.2671,0.3099,0.353,0.3885,0.4415,0.495,0.5445,0.5643,0.5647
2020-03,0.0583,0.0634,0.07,0.093,0.1316,0.1795,0.237,0.2906,0.3397,0.3865,0.4198,0.4507,0.4969,0.5437,0.5879,0.6065,0.6071
2020-02,1.236,1.0745,0.91,0.751,0.725,0.73,0.748,0.772,0.788,0.816,0.843,0.8745,0.9215,0.9735,1.0265,1.0435,1.0495
2020-01,1.5526,1.4814,1.3435,1.1803,1.1198,1.101,1.106,1.122,1.145,1.168,1.197,1.2245,1.2943,1.3487,1.3965,1.4251,1.42
2019-12,1.566,1.565,1.53,1.46,1.46,1.4777,1.5078,1.5402,1.5727,1.6042,1.63,1.6637,1.7142,1.7663,1.8147,1.8287,1.8287
2019-11,1.621,1.582,1.509,1.4005,1.3775,1.369,1.372,1.383,1.3995,1.4171,1.4488,1.4735,1.5122,1.5567,1.6017,1.6128,1.6045
