Date,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
2022-03,1.079,1.618,2.409,2.546,2.52,2.467,2.434,2.411,2.36,2.322,2.307,2.307,2.672,2.42
2022-02,0.673,1.009,1.529,1.665,1.727,1.76,1.791,1.814,1.812,1.816,1.835,1.939,2.327,2.175
2022-01,0.477,0.746,1.218,1.408,1.534,1.625,1.696,1.747,1.755,1.764,1.79,1.894,2.218,2.123
2021-12,0.216,0.392,0.757,0.99,1.156,1.274,1.363,1.427,1.448,1.469,1.512,1.627,1.971,1.937
2021-11,0.119,0.241,0.579,0.86,1.046,1.167,1.277,1.355,1.387,1.402,1.438,1.496,1.893,1.818
2021-10,0.077,0.178,0.51,0.799,1.02,1.199,1.349,1.456,1.501,1.531,1.575,1.645,2.024,1.974
2021-09,0.073,0.113,0.273,0.536,0.788,0.996,1.176,1.305,1.396,1.47,1.539,1.713,2.054,2.154
2021-08,0.064,0.091,0.201,0.417,0.613,0.783,0.95,1.07,1.167,1.25,1.323,1.511,1.874,2.003
2021-07,0.072,0.093,0.176,0.36,0.539,0.698,0.867,0.988,1.092,1.177,1.255,1.479,1.845,1.986
2021-06,0.087,0.118,0.236,0.467,0.692,0.888,1.08,1.217,1.327,1.412,1.485,1.695,2.049,2.163
2021-05,0.059,0.077,0.131,0.306,0.547,0.793,1.052,1.237,1.392,1.513,1.616,1.895,2.244,2.375
2021-04,0.056,0.086,0.155,0.344,0.601,0.857,1.118,1.305,1.45,1.564,1.659,1.937,2.22,2.404
2021-03,0.069,0.091,0.156,0.359,0.653,0.941,1.213,1.409,1.555,1.671,1.769,2.05,2.356,2.52
2021-02,0.09,0.106,0.134,0.286,0.508,0.724,0.944,1.102,1.222,1.319,1.409,1.709,2.041,2.221
2021-01,0.104,0.105,0.115,0.175,0.297,0.438,0.623,0.755,0.882,0.993,1.083,1.36,1.661,1.945
2020-12,0.133,0.123,0.124,0.164,0.254,0.364,0.519,0.629,0.74,0.832,0.914,1.157,1.438,1.737
2020-11,0.136,0.135,0.151,0.193,0.274,0.376,0.511,0.608,0.699,0.776,0.847,1.063,1.352,1.665
2020-10,0.137,0.14,0.161,0.203,0.284,0.393,0.533,0.634,0.723,0.802,0.874,1.126,1.418,1.758
